,precision,recall,f1-score,support
Corn___Common_Rust,0.9944444444444445,1.0,0.9972144846796658,179.0
Corn___Gray_Leaf_Spot,0.7446808510638298,0.9090909090909091,0.8187134502923976,77.0
Corn___Healthy,0.9774011299435028,0.9942528735632183,0.9857549857549858,174.0
Corn___Northern_Leaf_Blight,0.9457364341085271,0.8299319727891157,0.8840579710144928,147.0
Potato___Early_Blight,1.0,0.9866666666666667,0.9932885906040269,150.0
Potato___Healthy,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
Potato___Late_Blight,0.9671052631578947,0.98,0.9735099337748344,150.0
Rice___Brown_Spot,0.6862745098039216,0.7608695652173914,0.7216494845360825,92.0
Rice___Healthy,0.8533333333333334,0.8609865470852018,0.8571428571428571,223.0
Rice___Leaf_Blast,0.7851851851851852,0.7210884353741497,0.75177304964539,147.0
Rice___Neck_Blast,1.0,1.0,1.0,150.0
Wheat___Brown_Rust,0.9920634920634921,0.9191176470588235,0.9541984732824428,136.0
Wheat___Healthy,0.9545454545454546,1.0,0.9767441860465116,168.0
Wheat___Yellow_Rust,0.9708029197080292,0.9637681159420289,0.9672727272727273,138.0
accuracy,0.9227226202661207,0.9227226202661207,0.9227226202661207,0.9227226202661207
macro avg,0.9100813024820658,0.9139527107270579,0.9107775293884084,1954.0
weighted avg,0.9250822454691777,0.9227226202661207,0.9229441639464758,1954.0
